# DESI Year 3 BAO Data
# Source: DESI Collaboration (2024)
# Columns: tracer, z_eff, observable, value, error
# r_d = 147.09 Mpc (fiducial)

tracer,z_eff,observable,value,error
BGS,0.295,D_M/r_d,7.93,0.15
BGS,0.295,D_H/r_d,20.98,0.61
LRG,0.510,D_M/r_d,13.62,0.25
LRG,0.510,D_H/r_d,20.98,0.61
LRG,0.706,D_M/r_d,16.85,0.32
LRG,0.706,D_H/r_d,20.08,0.60
LRG,0.930,D_M/r_d,21.71,0.28
LRG,0.930,D_H/r_d,17.88,0.35
ELG,1.317,D_M/r_d,27.79,0.69
ELG,1.317,D_H/r_d,13.82,0.42
QSO,1.491,D_M/r_d,30.69,0.80
Lya,2.330,D_M/r_d,39.71,0.94
Lya,2.330,D_H/r_d,8.52,0.17
