mock,om_p16,om_p50,om_p84,om_p025,om_p975,pull,in68,in95,chi2_lcdm,om_hat,chi2_mcmc,delta_aic,delta_bic,eps_p50,eps_ci95_lo,eps_ci95_hi,acceptance
0,0.2982376498152846,0.3127169711656206,0.32753002346599314,0.28449278117401217,0.3422372781461004,-0.15587871857726335,1,1,1836.0753952015746,0.31249999999999994,1835.936508827947,3.861113626372344,14.874297186514013,0.01692268973145866,-0.0429988879227902,0.08876820696122889,0.5846875
1,0.30630126213189907,0.3210102796361417,0.3360588691742784,0.292338523022935,0.3510001312801286,0.4039491231658616,1,1,1739.8688831967222,0.3207499999999999,1739.8142824142674,3.945399217545173,14.958582777686843,0.010874572449711295,-0.04507784850130753,0.08846417425475202,0.5825
2,0.2872663046498485,0.30154527488403976,0.3161556381526408,0.27371317642735543,0.33066376795533586,-0.9314666338466938,1,1,1834.3547671051163,0.30124999999999996,1834.3194818240468,3.9647147189305088,14.977898279072178,0.014791845704407317,-0.044109882412542836,0.08917055134208692,0.5887890625000001
3,0.3079147645104855,0.3226886615528674,0.3378031167829812,0.2938903216593311,0.3528102074768453,0.51449216623044,1,1,1800.9659281862334,0.3222499999999999,1800.9655853993704,3.9996572131369703,15.01284077327864,0.0099273361427636,-0.04634973611462743,0.0850007176432997,0.5847265625
4,0.2952306225524995,0.3097119706981471,0.32452919714579265,0.28148582997709903,0.33924260876567447,-0.3609751924971398,1,1,1822.0736413396291,0.3092499999999999,1822.069714854047,3.996073514417958,15.009257074559628,0.020785228396510487,-0.04306176882607778,0.09031696774371008,0.5839062500000001
5,0.303910668499518,0.3186527843651759,0.33373578155492173,0.2899177347797387,0.34871315705049877,0.24494689145958448,1,1,1821.7727877482614,0.3182499999999999,1821.7094128011054,3.936625052843965,14.949808612985635,0.0203229326854711,-0.04440258285410086,0.08974345787997462,0.5830859375
6,0.30653764756679475,0.32133873327824175,0.33648153667077074,0.29248835267464235,0.35151724636682885,0.423374081852319,1,1,1830.6875977378845,0.32099999999999995,1830.6234145365038,3.935816798619271,14.94900035876094,0.013557465381269802,-0.045047621783201666,0.09041302886258086,0.5851953125
7,0.30807413574804116,0.32281596933797174,0.3378972360783282,0.29407963439933327,0.35287080863272535,0.5241553863556013,1,1,1915.3867982867946,0.32249999999999995,1915.3250740994285,3.9382758126339468,14.951459372775616,0.014921088652307787,-0.04544592891881681,0.09043313205204591,0.5795703125
8,0.2787936257455496,0.29295563206353853,0.30744825223827865,0.26535345635558555,0.32184194570622476,-1.5386253903574778,0,1,1850.9997288946774,0.2925,1850.9315961530833,3.931867258405873,14.945050818547543,0.013143537339686834,-0.045062512805090396,0.08846987398822438,0.57765625
9,0.29946384158454226,0.3140099405458692,0.32889179029298143,0.28565533521962744,0.3436677884379014,-0.06728701778978244,1,1,1916.6453746139496,0.3137499999999999,1916.5830519513188,3.937677337369223,14.950860897510893,0.015724043564975712,-0.04538329099322515,0.08972836776457485,0.58015625
10,0.31059878114327494,0.32554758965089825,0.34084277373570215,0.2964099631549667,0.3560303840788826,0.6974998171067702,1,1,1775.6697122787361,0.32524999999999993,1775.5546192610495,3.884906982313396,14.898090542455066,0.014272089429254491,-0.04548049799967434,0.0883452248022897,0.5772265625
