closure,z,k_hMpc,mu_minus_one,in_window
comoving,0.0,0.01,9.738249e-07,1
comoving,0.0,0.02,3.895300e-06,1
comoving,0.0,0.05,2.434562e-05,1
comoving,0.0,0.1,9.738249e-05,1
comoving,0.0,0.2,3.895300e-04,1
comoving,0.0,0.3,8.764424e-04,0
comoving,0.5,0.01,6.492166e-07,1
comoving,0.5,0.02,2.596866e-06,1
comoving,0.5,0.05,1.623041e-05,1
comoving,0.5,0.1,6.492166e-05,1
comoving,0.5,0.2,2.596866e-04,1
comoving,0.5,0.3,5.842949e-04,0
comoving,1.0,0.01,4.869124e-07,1
comoving,1.0,0.02,1.947650e-06,1
comoving,1.0,0.05,1.217281e-05,1
comoving,1.0,0.1,4.869124e-05,1
comoving,1.0,0.2,1.947650e-04,1
comoving,1.0,0.3,4.382212e-04,0
comoving,2.0,0.01,3.246083e-07,1
comoving,2.0,0.02,1.298433e-06,1
comoving,2.0,0.05,8.115207e-06,1
comoving,2.0,0.1,3.246083e-05,1
comoving,2.0,0.2,1.298433e-04,1
comoving,2.0,0.3,2.921475e-04,0
comoving,3.0,0.01,2.434562e-07,1
comoving,3.0,0.02,9.738249e-07,1
comoving,3.0,0.05,6.086406e-06,1
comoving,3.0,0.1,2.434562e-05,1
comoving,3.0,0.2,9.738249e-05,1
comoving,3.0,0.3,2.191106e-04,0
physical,0.0,0.01,9.738249e-07,1
physical,0.0,0.02,3.895300e-06,1
physical,0.0,0.05,2.434562e-05,1
physical,0.0,0.1,9.738249e-05,1
physical,0.0,0.2,3.895300e-04,1
physical,0.0,0.3,8.764424e-04,0
physical,0.5,0.01,4.025319e-06,1
physical,0.5,0.02,1.610127e-05,1
physical,0.5,0.05,1.006330e-04,1
physical,0.5,0.1,4.025319e-04,1
physical,0.5,0.2,1.610127e-03,1
physical,0.5,0.3,3.622787e-03,0
physical,1.0,0.01,1.101757e-05,1
physical,1.0,0.02,4.407028e-05,1
physical,1.0,0.05,2.754393e-04,1
physical,1.0,0.1,1.101757e-03,1
physical,1.0,0.2,4.407028e-03,1
physical,1.0,0.3,9.915814e-03,0
physical,2.0,0.01,4.554128e-05,1
physical,2.0,0.02,1.821651e-04,1
physical,2.0,0.05,1.138532e-03,1
physical,2.0,0.1,4.554128e-03,1
physical,2.0,0.2,1.821651e-02,1
physical,2.0,0.3,4.098715e-02,0
physical,3.0,0.01,1.246496e-04,1
physical,3.0,0.02,4.985983e-04,1
physical,3.0,0.05,3.116240e-03,1
physical,3.0,0.1,1.246496e-02,1
physical,3.0,0.2,4.985983e-02,1
physical,3.0,0.3,1.121846e-01,0
